ID,Library,Confirmed,New,PR,Fixed,Symptom,Buggy Component,Mutation
https://github.com/bokeh/bokeh/issues/15004,bokeh,Yes,Yes,Yes,Yes (code),Incorrect Plot,Layout,Change & Recover
https://github.com/bokeh/bokeh/issues/15006,bokeh,Yes,Yes,Yes,?,Incorrect Plot,Scale,Change & Recover
https://github.com/bokeh/bokeh/issues/15009,bokeh,No,-,-,-,-,-,-
https://github.com/bokeh/bokeh/issues/15015,bokeh,Yes,Yes,Yes,Yes (code),Incorrect Plot,Annotation,Change & Recover
https://github.com/bokeh/bokeh/issues/15026,bokeh,Yes,Yes,?,?,Incorrect Plot,Visual Encoding,Change & Recover
https://github.com/bokeh/bokeh/issues/15028,bokeh,Yes,Yes,Yes,Yes (code),Incorrect Plot,Scale,Change & Recover
https://github.com/bokeh/bokeh/issues/15030,bokeh,Yes,Yes,?,?,Incorrect Plot,Layout,Change & Recover
https://github.com/bokeh/bokeh/issues/15031,bokeh,Yes,Yes,Yes,Yes (code),Incorrect Plot,Annotation,Change & Recover
https://github.com/bokeh/bokeh/issues/15032,bokeh,Yes,Yes,Yes,?,Incorrect Plot,Annotation,Change & Recover
https://github.com/bokeh/bokeh/issues/15033,bokeh,?,?,?,?,Incorrect Plot,Annotation,Change & Recover
https://github.com/bokeh/bokeh/issues/15034,bokeh,?,?,?,?,Incorrect Plot,Annotation,Change & Recover
https://github.com/bokeh/bokeh/issues/15038,bokeh,Yes,Yes,Yes,?,Incorrect Plot,Annotation,Change & Recover
https://github.com/bokeh/bokeh/issues/15040,bokeh,No,-,-,-,-,-,-
https://github.com/bokeh/bokeh/issues/15041,bokeh,Yes,Yes,Yes,Yes (code),Incorrect Plot,Scale,Change & Recover
https://github.com/bokeh/bokeh/issues/15080,bokeh,Yes,Yes,Yes,Yes (code),Incorrect Plot,Layout,Change & Recover
https://github.com/bokeh/bokeh/issues/15119,bokeh,?,?,?,?,Crash,Annotation,Change & Recover
https://github.com/bokeh/bokeh/issues/15120,bokeh,No,-,-,-,-,-,-
https://github.com/bokeh/bokeh/issues/15121,bokeh,?,?,?,?,Crash,Annotation,Change & Recover
